634,86996
635,96892
636,93536
637,90916
638,90884
639,280688
640,91660
641,183836
642,183684
643,363608
644,190084
645,930220
646,91292
647,92876
648,93092
649,182528
650,92868
651,181512
652,94104
653,190916
654,89424
655,91220
656,93304
657,90764
658,90740
659,284740
660,89552
661,85988
662,89880
663,180336
664,92836
665,93088
666,364732
667,351392
668,94416
669,459808
670,88608
671,88768
672,88836
673,92660
674,89984
675,94400
676,90648
677,187084
678,88588
679,822052
680,94664
681,93608
682,359056
683,93848
684,88700
685,87228
686,275716
687,94352
688,470788
689,95092
690,180668
691,95608
692,92240
693,92032
694,91216
695,92968
696,97000
697,195920
698,92372
699,92236
700,201284
701,290820
702,90828
703,92732
704,93036
705,369764
706,374120
707,92488
708,92280
709,91928
710,92728
711,184468
712,87372
713,179684
714,456816
715,451544
716,92552
717,646056
718,189412
719,358588
720,179192
721,91216
722,96344
723,95688
724,90964
725,93700
726,94032
727,177036
728,85660
729,95976
730,87748
731,269460
732,275024
733,98220
734,89720
735,185424
736,185080
737,95380
738,92440
739,88456
740,354780
741,89784
742,93124
743,102656
744,276364
745,373384
746,922000
747,186984
748,365420
749,96972
750,92676
751,94460
752,90600
753,271376
754,89972
755,95684
756,92932
757,89300
758,658524
759,177476
760,182064
761,177224
762,180848
763,749844
764,181120
765,176480
766,184360
767,101724
768,199320
769,89448
770,189048
771,365832
772,94724
773,726472
774,266396
775,278320
776,90052
777,84940
778,561664
779,90572
780,378396
781,273128
782,647476
783,93512
784,94976
785,174180
786,91132
787,92108
788,359780
789,270456
790,97888
791,93392
792,87972
793,87992
794,172452
795,190760
796,92484
797,90264
798,182272
799,89876
800,90640
801,179700
802,87888
803,280444
804,282112
805,89424
806,182780
807,94016
808,89688
809,455340
810,460224
811,87596
812,272208
813,94636
814,183184
815,273820
816,91300
817,85540
818,375716
819,97148
820,739752
821,93924
822,90144
823,87084
824,459672
825,267208
826,269316
827,88360
828,187160
829,91940
830,178608
831,87468
832,266892
833,89152
834,181236
835,182964
836,94552
837,93288
838,181792
839,269352
840,91884
841,93080
842,94628
843,96316
844,97292
845,88752
846,99676
847,100416
848,94700
849,181648
850,365140
851,180868
852,185760
853,89616
854,267560
855,181468
856,191956
857,304216
858,90716
859,184728
860,193020
861,88732
862,184952
863,291632
864,201284
865,96356
866,95072
867,95152
868,178712
869,93596
870,270332
871,187928
872,90448
